dataset,fdr_x,fdr_y,overlap_count,overlap_ratio,jaccard
INKA,0.01,0.01,10.0,1.0,1.0
INKA,0.025,0.01,6.0,0.6,0.4285714285714285
INKA,0.05,0.01,9.0,0.9,0.8181818181818182
INKA,0.1,0.01,8.0,0.8,0.6666666666666666
INKA,0.2,0.01,6.0,0.6,0.4285714285714285
INKA,0.01,0.025,6.0,0.6,0.4285714285714285
INKA,0.025,0.025,10.0,1.0,1.0
INKA,0.05,0.025,6.0,0.6,0.4285714285714285
INKA,0.1,0.025,6.0,0.6,0.4285714285714285
INKA,0.2,0.025,3.0,0.3,0.1764705882352941
INKA,0.01,0.05,9.0,0.9,0.8181818181818182
INKA,0.025,0.05,6.0,0.6,0.4285714285714285
INKA,0.05,0.05,10.0,1.0,1.0
INKA,0.1,0.05,9.0,0.9,0.8181818181818182
INKA,0.2,0.05,7.0,0.7,0.5384615384615384
INKA,0.01,0.1,8.0,0.8,0.6666666666666666
INKA,0.025,0.1,6.0,0.6,0.4285714285714285
INKA,0.05,0.1,9.0,0.9,0.8181818181818182
INKA,0.1,0.1,10.0,1.0,1.0
INKA,0.2,0.1,7.0,0.7,0.5384615384615384
INKA,0.01,0.2,6.0,0.6,0.4285714285714285
INKA,0.025,0.2,3.0,0.3,0.1764705882352941
INKA,0.05,0.2,7.0,0.7,0.5384615384615384
INKA,0.1,0.2,7.0,0.7,0.5384615384615384
INKA,0.2,0.2,10.0,1.0,1.0
SCZ,0.01,0.01,10.0,1.0,1.0
SCZ,0.025,0.01,9.0,0.9,0.8181818181818182
SCZ,0.05,0.01,8.0,0.8,0.6666666666666666
SCZ,0.1,0.01,8.0,0.8,0.6666666666666666
SCZ,0.2,0.01,8.0,0.8,0.6666666666666666
SCZ,0.01,0.025,9.0,0.9,0.8181818181818182
SCZ,0.025,0.025,10.0,1.0,1.0
SCZ,0.05,0.025,9.0,0.9,0.8181818181818182
SCZ,0.1,0.025,9.0,0.9,0.8181818181818182
SCZ,0.2,0.025,9.0,0.9,0.8181818181818182
SCZ,0.01,0.05,8.0,0.8,0.6666666666666666
SCZ,0.025,0.05,9.0,0.9,0.8181818181818182
SCZ,0.05,0.05,10.0,1.0,1.0
SCZ,0.1,0.05,10.0,1.0,1.0
SCZ,0.2,0.05,10.0,1.0,1.0
SCZ,0.01,0.1,8.0,0.8,0.6666666666666666
SCZ,0.025,0.1,9.0,0.9,0.8181818181818182
SCZ,0.05,0.1,10.0,1.0,1.0
SCZ,0.1,0.1,10.0,1.0,1.0
SCZ,0.2,0.1,10.0,1.0,1.0
SCZ,0.01,0.2,8.0,0.8,0.6666666666666666
SCZ,0.025,0.2,9.0,0.9,0.8181818181818182
SCZ,0.05,0.2,10.0,1.0,1.0
SCZ,0.1,0.2,10.0,1.0,1.0
SCZ,0.2,0.2,10.0,1.0,1.0
