from,to,interaction_type
AKT1,C00246,protein-small_molecule
AKT1,C00246,protein-small_molecule
AKT1,C00076,protein-small_molecule
AKT1,C00076,protein-small_molecule
AKT1,C00469,protein-small_molecule
AKT1,C00469,protein-small_molecule
AKT1,C00242,protein-small_molecule
AKT1,C00242,protein-small_molecule
AKT1,C00027,protein-small_molecule
AKT1,C00027,protein-small_molecule
AKT1,C01598,protein-small_molecule
AKT1,C01598,protein-small_molecule
AKT1,C16150,protein-small_molecule
AKT1,C01328,protein-small_molecule
AKT1,C01328,protein-small_molecule
AKT1,C00007,protein-small_molecule
AKT1,C00007,protein-small_molecule
AKT1,C00757,protein-small_molecule
AKT1,C00757,protein-small_molecule
AKT1,C07886,protein-small_molecule
AKT1,C07886,protein-small_molecule
AKT1,C07589,protein-small_molecule
AKT1,C07589,protein-small_molecule
AKT1,C06911,protein-small_molecule
AKT1,C07649,protein-small_molecule
AKT1,C07649,protein-small_molecule
AKT1,C00160,protein-small_molecule
AKT1,C15195,protein-small_molecule
AKT1,C15195,protein-small_molecule
AKT1,C00951,protein-small_molecule
AKT1,C00005,protein-small_molecule
AKT1,C00006,protein-small_molecule
AKT1,C00002,protein-small_molecule
AKT1,C00535,protein-small_molecule
AKT1,C00008,protein-small_molecule
AKT1,C07441,protein-small_molecule
AKT1,C00062,protein-small_molecule
AKT1,C00044,protein-small_molecule
AKT1,C00327,protein-small_molecule
AKT1,C10387,protein-small_molecule
AKT1,C10387,protein-small_molecule
AKT1,C15473,protein-small_molecule
AKT1,C15473,protein-small_molecule
AKT1,C01661,protein-small_molecule
AKT1,C07394,protein-small_molecule
AKT1,C01576,protein-small_molecule
AKT1,C16453,protein-small_molecule
AKT1,C16453,protein-small_molecule
AKT1,C07074,protein-small_molecule
AKT1,C09731,protein-small_molecule
AKT1,C00745,protein-small_molecule
AKT1,C14131,protein-small_molecule
AKT1,C14131,protein-small_molecule
AKT1,C01272,protein-small_molecule
AKT1,C10417,protein-small_molecule
AKT1,C10417,protein-small_molecule
AKT1,C00533,protein-small_molecule
AKT1,C00533,protein-small_molecule
AKT1,C03582,protein-small_molecule
AKT1,C05011,protein-small_molecule
AKT1,C00016,protein-small_molecule
AKT1,C00061,protein-small_molecule
AKT1,C00389,protein-small_molecule
AKT1,C00389,protein-small_molecule
AKT1,C06563,protein-small_molecule
AKT1,C06563,protein-small_molecule
AKT1,C06124,protein-small_molecule
AKT1,C07909,protein-small_molecule
MAPK3,C00698,protein-small_molecule
MAPK3,C00698,protein-small_molecule
MAPK3,C00469,protein-small_molecule
MAPK3,C00469,protein-small_molecule
MAPK3,C00027,protein-small_molecule
MAPK3,C00027,protein-small_molecule
MAPK3,C01328,protein-small_molecule
MAPK3,C01328,protein-small_molecule
MAPK3,C15195,protein-small_molecule
MAPK3,C15195,protein-small_molecule
MAPK3,C07610,protein-small_molecule
MAPK3,C00002,protein-small_molecule
MAPK3,C00008,protein-small_molecule
MAPK3,C07441,protein-small_molecule
MAPK3,C00044,protein-small_molecule
MAPK3,C00533,protein-small_molecule
MAPK3,C00533,protein-small_molecule
MAPK3,C05011,protein-small_molecule
GSK3B,C11238,protein-small_molecule
GSK3B,C11238,protein-small_molecule
GSK3B,C07185,protein-small_molecule
GSK3B,C07185,protein-small_molecule
GSK3B,C15195,protein-small_molecule
GSK3B,C15195,protein-small_molecule
GSK3B,C07151,protein-small_molecule
GSK3B,C07151,protein-small_molecule
GSK3B,C00951,protein-small_molecule
GSK3B,C00002,protein-small_molecule
GSK3B,C00008,protein-small_molecule
GSK3B,C15473,protein-small_molecule
GSK3B,C15473,protein-small_molecule
GSK3B,C12147,protein-small_molecule
GSK3B,AXIN1,protein-protein
GSK3A,C11238,protein-small_molecule
GSK3A,C11238,protein-small_molecule
GSK3A,C15195,protein-small_molecule
GSK3A,C15195,protein-small_molecule
GSK3A,C00002,protein-small_molecule
GSK3A,C00008,protein-small_molecule
GSK3A,AXIN1,protein-protein
GTF2F1,C00002,protein-small_molecule
GTF2F1,C00008,protein-small_molecule
GTF2F1,C00075,protein-small_molecule
GTF2F1,C00063,protein-small_molecule
GTF2F1,C00144,protein-small_molecule
GTF2F1,C00044,protein-small_molecule
GTF2F1,C00035,protein-small_molecule
GTF2F1,C00021,protein-small_molecule
GTF2F1,C07620,protein-small_molecule
GTF2F1,TAF12,protein-protein
GTF2F1,SMARCC1,protein-protein
MTOR,C00007,protein-small_molecule
MTOR,C00007,protein-small_molecule
MTOR,C06911,protein-small_molecule
MTOR,C15195,protein-small_molecule
MTOR,C15195,protein-small_molecule
MTOR,C07151,protein-small_molecule
MTOR,C07151,protein-small_molecule
MTOR,C00951,protein-small_molecule
MTOR,C00002,protein-small_molecule
MTOR,C00008,protein-small_molecule
MTOR,C00044,protein-small_molecule
MTOR,C00035,protein-small_molecule
MTOR,C03582,protein-small_molecule
MTOR,C07909,protein-small_molecule
MTOR,C15182,protein-small_molecule
MTOR,MAPKAP1,protein-protein
MAPK1,C00076,protein-small_molecule
MAPK1,C00076,protein-small_molecule
MAPK1,C00698,protein-small_molecule
MAPK1,C00698,protein-small_molecule
MAPK1,C00116,protein-small_molecule
MAPK1,C00116,protein-small_molecule
